Calendar_Dt,Cust_Id,Recharge_Dt,Recharge_Amt_Num
2019-03-31,70,2019-02-22,8.00
2019-03-31,70,2019-02-20,9.00
2019-03-31,70,2019-02-10,10.00
2019-03-31,70,2019-02-14,10.00
2019-03-31,70,2019-03-07,8.00
2019-03-31,148,2019-01-30,100.00
2019-03-31,148,2019-03-23,40.00
2019-03-31,148,2019-03-01,100.00
2019-03-31,148,2019-01-03,40.00
2019-03-31,155,2019-01-19,10.00
2019-03-31,155,2019-03-02,10.00
2019-03-31,155,2019-01-06,10.00
2019-03-31,155,2019-03-17,10.00
2019-03-31,155,2019-01-28,10.00
2019-03-31,155,2019-03-07,10.00
2019-03-31,155,2019-02-16,10.00
2019-03-31,155,2019-02-03,10.00
2019-03-31,155,2018-12-30,10.00
2019-03-31,155,2019-03-23,10.00
2019-03-31,155,2019-01-13,10.00
2019-03-31,155,2019-02-21,10.00
2019-03-31,155,2019-02-10,10.00
2019-03-31,155,2019-03-13,10.00
2019-03-31,181,2019-01-25,5.00
2019-03-31,181,2019-03-25,5.00
2019-03-31,181,2019-02-05,5.00
2019-03-31,181,2019-03-04,5.00
2019-03-31,181,2019-03-16,6.00
2019-03-31,181,2019-01-17,5.00
2019-03-31,323,2019-03-06,30.00
2019-03-31,323,2019-01-24,30.00
2019-03-31,323,2019-01-16,5.00
2019-03-31,323,2019-02-02,15.00
2019-03-31,323,2019-02-01,30.00
2019-03-31,323,2019-03-18,30.00
2019-03-31,323,2019-01-17,30.00
2019-03-31,323,2019-03-19,15.00
2019-03-31,323,2019-03-21,15.00
2019-03-31,323,2019-01-01,30.00
2019-03-31,323,2019-03-28,30.00
2019-03-31,330,2019-01-12,24.00
2019-03-31,330,2019-03-19,10.00
2019-03-31,330,2019-02-25,10.00
2019-03-31,330,2019-02-17,10.00
2019-03-31,330,2019-03-03,39.00
2019-03-31,330,2019-01-24,10.00
2019-03-31,330,2019-01-11,10.00
2019-03-31,364,2019-03-05,20.00
2019-03-31,364,2019-01-26,9.00
2019-03-31,364,2019-01-02,10.00
2019-03-31,364,2019-02-05,20.00
2019-03-31,394,2019-03-10,10.00
2019-03-31,394,2019-02-14,10.00
2019-03-31,394,2018-12-28,10.00
2019-03-31,394,2019-03-29,15.00
2019-03-31,399,2019-03-14,5.00
2019-03-31,399,2019-03-02,5.00
2019-03-31,399,2019-03-04,5.00
2019-03-31,399,2019-02-14,15.00
2019-03-31,399,2019-02-28,15.00
2019-03-31,399,2019-02-20,5.00
2019-03-31,399,2019-02-01,5.00
2019-03-31,399,2019-03-29,10.00
2019-03-31,399,2019-02-02,10.00
2019-03-31,399,2019-01-28,10.00
2019-03-31,399,2019-01-09,10.00
2019-03-31,399,2019-02-17,5.00
2019-03-31,399,2019-01-24,10.00
2019-03-31,399,2019-01-16,10.00
2019-03-31,399,2019-03-06,5.00
2019-03-31,399,2019-03-05,15.00
2019-03-31,399,2019-03-27,10.00
2019-03-31,399,2019-03-12,5.00
2019-03-31,399,2019-02-09,5.00
2019-03-31,402,2019-01-27,23.00
2019-03-31,402,2019-02-27,23.00
2019-03-31,402,2018-12-30,23.00
2019-03-31,402,2019-03-29,22.00
2019-03-31,431,2019-03-10,7.00
2019-03-31,431,2019-02-19,7.00
2019-03-31,431,2019-02-25,8.00
2019-03-31,431,2019-03-05,10.00
2019-03-31,431,2019-01-25,8.00
2019-03-31,431,2019-02-04,8.00
2019-03-31,431,2019-01-08,8.00
2019-03-31,431,2019-03-17,5.00
2019-03-31,431,2019-01-03,10.00
2019-03-31,431,2019-03-20,7.00
2019-03-31,431,2019-03-08,8.00
2019-03-31,431,2019-01-17,5.00
2019-03-31,431,2019-02-01,10.00
2019-03-31,431,2019-03-22,5.00
2019-03-31,431,2019-02-12,7.00
2019-03-31,431,2019-01-29,8.00
2019-03-31,446,2019-01-02,15.00
2019-03-31,446,2019-02-23,10.00
2019-03-31,446,2019-03-07,15.00
2019-03-31,446,2019-01-12,15.00
2019-03-31,446,2019-02-13,10.00
2019-03-31,446,2019-02-05,10.00
2019-03-31,446,2019-03-26,10.00
2019-03-31,456,2018-12-29,48.00
2019-03-31,456,2019-03-24,96.00
2019-03-31,456,2019-03-26,98.00
2019-03-31,456,2019-02-17,50.00
2019-03-31,456,2019-03-03,49.00
2019-03-31,456,2019-03-25,194.00
2019-03-31,456,2019-02-12,49.00
2019-03-31,456,2019-03-11,49.00
2019-03-31,456,2019-01-26,49.00
2019-03-31,456,2019-03-30,100.00
2019-03-31,456,2019-03-20,96.00
2019-03-31,456,2019-02-20,48.00
2019-03-31,456,2019-01-05,48.00
2019-03-31,456,2019-01-21,50.00
2019-03-31,542,2019-03-18,65.00
2019-03-31,542,2019-02-18,65.00
2019-03-31,542,2019-01-19,67.00
2019-03-31,542,2019-02-22,5.00
2019-03-31,586,2019-02-23,5.00
2019-03-31,586,2019-02-14,8.00
2019-03-31,586,2019-03-29,5.00
2019-03-31,586,2019-02-05,8.00
2019-03-31,586,2019-02-20,5.00
2019-03-31,586,2019-01-21,5.00
2019-03-31,586,2019-02-17,5.00
2019-03-31,586,2019-03-21,5.00
2019-03-31,586,2019-01-16,5.00
2019-03-31,586,2019-03-23,5.00
2019-03-31,586,2019-03-17,5.00
2019-03-31,586,2019-01-05,10.00
2019-03-31,586,2019-02-28,5.00
2019-03-31,586,2019-03-15,5.00
2019-03-31,586,2019-02-04,5.00
2019-03-31,586,2019-02-16,5.00
2019-03-31,586,2019-02-09,10.00
2019-03-31,586,2019-01-18,5.00
2019-03-31,586,2019-01-01,5.00
2019-03-31,586,2019-03-02,5.00
